record #,timestamp,county code,zip,Registered,Primary,Ballot,Biden defeats Trump,Bloomberg defeats Trump,Buttigieg defeats Trump,Gabbard defeats Trump,Klobuchar defeats Trump,Sanders defeats Trump,Steyer defeats Trump,Warren defeats Trump,1st choice,2nd choice,3rd choice,4th choice,5th choice,6th choice,7th choice,Ranked choice voting,LDPV,Gender,Age ,<50 / 50+,Race ,Party Affiliation,Ideology,2016 vote,Education,Income,Martial status,Child < 18,Religion,Evangelical,Union HH,Military HH,LGBTQ HH,Urbanicity,Region,weight
160100XXXX,2/25/2020 22:45,17043,60504,1,1,,0,0,0,0,0,0,0,0,,,,,,,,,2,1,67,2,3,1,2,4,1,1,2,2,1,2,2,2,2,2,2,0.83055425
218100XXXX,2/25/2020 22:53,17043,60138,1,6,5,,,,,,,,,,,,,,,,,2,1,42,1,3,2,3,1,1,2,1,2,1,1,2,2,2,2,2,0.633420996
421100XXXX,2/25/2020 22:15,17057,61477,1,6,5,,,,,,,,,,,,,,,,,2,2,30,1,3,4,6,1,2,1,2,1,1,2,2,2,2,3,2,0.625603358
133410XXXX,2/26/2020 11:29,17057,61520,1,6,5,,,,,,,,,,,,,,,,,2,2,40,1,3,1,2,1,2,1,2,1,3,2,2,1,2,3,2,0.606840063
135110XXXX,2/26/2020 11:30,17073,61238,1,5,1,25,25,0,0,0,5,0,0,,,,,,,,,2,2,51,2,3,1,3,1,2,3,2,1,2,2,1,2,2,3,2,0.847513457
217510XXXX,2/26/2020 12:41,17083,62052,1,6,1,0,0,0,0,0,0,0,0,,,,,,,,,2,1,54,2,3,1,2,1,3,3,2,2,1,2,2,2,2,3,2,0.824341641
478100XXXX,2/26/2020 11:36,17089,60505,2,,,,,,,,,,,,,,,,,,,2,1,40,1,1,3,3,4,1,2,1,2,4,3,2,2,2,2,2,0.569530796
970100XXXX,2/25/2020 22:21,17089,60140,1,4,,20,25,0,0,0,40,0,25,,,,,,,,,2,2,44,1,3,3,3,1,2,3,2,1,1,2,2,2,1,2,2,0.606840063
187610XXXX,2/26/2020 11:32,17089,60506,2,,,,,,,,,,,,,,,,,,,2,2,48,1,3,3,3,4,2,1,2,1,4,2,2,2,2,2,2,0.606840063
199610XXXX,2/26/2020 11:32,17089,60110,1,5,1,10,20,20,10,10,50,10,10,,,,,,,,,2,2,48,1,4,1,3,1,3,2,2,1,2,2,2,2,2,2,2,0.913986267
126310XXXX,2/26/2020 11:29,17089,60554,3,,,,,,,,,,,,,,,,,,,2,1,32,1,3,1,2,4,1,2,2,2,1,2,1,2,2,2,2,1.16527008
178510XXXX,2/26/2020 11:33,17097,60047,1,6,1,5,1,10,5,5,35,0,10,,,,,,,,,2,1,30,1,1,1,3,1,3,3,1,1,1,1,2,2,2,2,2,0.605893808
295100XXXX,2/25/2020 22:14,17097,60064,1,6,2,30,50,15,0,0,40,0,0,6,2,1,3,8,7,4,4,1,1,35,1,4,2,4,2,2,2,1,2,3,2,2,2,2,2,2,0.583815079
127510XXXX,2/26/2020 11:29,17097,60169,1,2,,40,0,30,0,0,50,0,30,,,,,,,,,2,1,23,1,4,2,2,2,3,3,1,2,4,2,2,2,2,2,2,0.911982404
288100XXXX,2/25/2020 23:02,17097,60060,2,,,,,,,,,,,,,,,,,,,2,1,50,2,2,3,2,4,3,3,2,1,2,2,1,2,2,2,2,1.087849899
179010XXXX,2/26/2020 11:33,17111,60050,1,6,2,20,10,0,0,0,40,10,5,6,1,8,3,2,7,4,2,1,2,22,1,1,2,3,2,2,2,1,2,3,1,2,2,1,2,2,0.433476778
215210XXXX,2/26/2020 12:41,17111,60102,2,,,,,,,,,,,,,,,,,,,2,2,54,2,4,4,3,5,3,3,2,2,4,2,2,2,2,2,2,0.952411344
451000XXXX,2/25/2020 22:28,17111,60097,2,,,,,,,,,,,,,,,,,,,2,1,37,1,3,1,3,4,1,2,2,1,1,3,2,2,2,3,2,0.633420996
