ranks,ballotID,rank1,rank2,rank3,rank4
"['Harvey Curley', 'skipped', 'skipped', 'skipped']",3891,Harvey Curley,skipped,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'Larry Edwards', 'Mary Hall-Rayford']",3892,Harvey Curley,Sarah A. Lucido,Larry Edwards,Mary Hall-Rayford
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3893,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Larry Edwards', 'Sarah A. Lucido', 'skipped', 'skipped']",3894,Larry Edwards,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3895,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Harvey Curley', 'Larry Edwards', 'Mary Hall-Rayford', 'Sarah A. Lucido']",3896,Harvey Curley,Larry Edwards,Mary Hall-Rayford,Sarah A. Lucido
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3897,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Larry Edwards', 'Mary Hall-Rayford', 'Harvey Curley', 'Sarah A. Lucido']",3898,Larry Edwards,Mary Hall-Rayford,Harvey Curley,Sarah A. Lucido
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'writein']",3899,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,writein
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3900,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Larry Edwards', 'Harvey Curley', 'Mary Hall-Rayford', 'skipped']",3901,Larry Edwards,Harvey Curley,Mary Hall-Rayford,skipped
"['Larry Edwards', 'Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford']",3902,Larry Edwards,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3903,Sarah A. Lucido,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Larry Edwards', 'Sarah A. Lucido', 'Harvey Curley']",3904,Mary Hall-Rayford,Larry Edwards,Sarah A. Lucido,Harvey Curley
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3905,Sarah A. Lucido,skipped,skipped,skipped
"['Sarah A. Lucido', 'Larry Edwards', 'skipped', 'skipped']",3906,Sarah A. Lucido,Larry Edwards,skipped,skipped
"['Sarah A. Lucido', 'Harvey Curley', 'Mary Hall-Rayford', 'Larry Edwards']",3907,Sarah A. Lucido,Harvey Curley,Mary Hall-Rayford,Larry Edwards
"['Harvey Curley', 'Sarah A. Lucido', 'Mary Hall-Rayford', 'Larry Edwards']",3908,Harvey Curley,Sarah A. Lucido,Mary Hall-Rayford,Larry Edwards
"['Sarah A. Lucido', 'Harvey Curley', 'skipped', 'skipped']",3909,Sarah A. Lucido,Harvey Curley,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3910,Sarah A. Lucido,skipped,skipped,skipped
"['Mary Hall-Rayford', 'Sarah A. Lucido', 'Harvey Curley', 'Larry Edwards']",3911,Mary Hall-Rayford,Sarah A. Lucido,Harvey Curley,Larry Edwards
"['Larry Edwards', 'Mary Hall-Rayford', 'skipped', 'skipped']",3912,Larry Edwards,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3913,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'Mary Hall-Rayford', 'skipped', 'skipped']",3914,Sarah A. Lucido,Mary Hall-Rayford,skipped,skipped
"['Harvey Curley', 'Sarah A. Lucido', 'skipped', 'skipped']",3915,Harvey Curley,Sarah A. Lucido,skipped,skipped
"['Sarah A. Lucido', 'skipped', 'skipped', 'skipped']",3916,Sarah A. Lucido,skipped,skipped,skipped
"['Harvey Curley', 'Harvey Curley', 'Harvey Curley', 'Harvey Curley']",3917,Harvey Curley,Harvey Curley,Harvey Curley,Harvey Curley
