ranks,ballotID,rank1,rank2,rank3
"['Blong Yang', 'skipped', 'skipped']",432,Blong Yang,skipped,skipped
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",433,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'skipped', 'skipped']",434,Blong Yang,skipped,skipped
"['Blong Yang', 'Raeisha (RA) Williams', 'skipped']",435,Blong Yang,Raeisha (RA) Williams,skipped
"['Blong Yang', 'Raeisha (RA) Williams', 'Cathy Spann']",436,Blong Yang,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",437,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",438,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",439,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Blong Yang', 'Cathy Spann', 'skipped']",440,Blong Yang,Cathy Spann,skipped
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",441,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",442,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Cathy Spann', 'Jeremiah Ellison', 'skipped']",443,Cathy Spann,Jeremiah Ellison,skipped
"['Blong Yang', 'Blong Yang', 'Blong Yang']",444,Blong Yang,Blong Yang,Blong Yang
"['Blong Yang', 'skipped', 'skipped']",445,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",446,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Cathy Spann', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",447,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams
"['Cathy Spann', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",448,Cathy Spann,Jeremiah Ellison,Raeisha (RA) Williams
"['Cathy Spann', 'Blong Yang', 'Jeremiah Ellison']",449,Cathy Spann,Blong Yang,Jeremiah Ellison
"['Raeisha (RA) Williams', 'Blong Yang', 'Jeremiah Ellison']",450,Raeisha (RA) Williams,Blong Yang,Jeremiah Ellison
"['Raeisha (RA) Williams', 'Jeremiah Ellison', 'Cathy Spann']",451,Raeisha (RA) Williams,Jeremiah Ellison,Cathy Spann
"['Blong Yang', 'Jeremiah Ellison', 'Cathy Spann']",452,Blong Yang,Jeremiah Ellison,Cathy Spann
"['Jeremiah Ellison', 'Cathy Spann', 'Raeisha (RA) Williams']",453,Jeremiah Ellison,Cathy Spann,Raeisha (RA) Williams
"['Raeisha (RA) Williams', 'skipped', 'skipped']",454,Raeisha (RA) Williams,skipped,skipped
"['Blong Yang', 'skipped', 'skipped']",455,Blong Yang,skipped,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",456,Jeremiah Ellison,skipped,skipped
"['Jeremiah Ellison', 'skipped', 'skipped']",457,Jeremiah Ellison,skipped,skipped
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Cathy Spann']",458,Jeremiah Ellison,Raeisha (RA) Williams,Cathy Spann
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",459,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'Raeisha (RA) Williams', 'Jeremiah Ellison']",460,Blong Yang,Raeisha (RA) Williams,Jeremiah Ellison
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",461,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Blong Yang', 'Cathy Spann', 'Raeisha (RA) Williams']",462,Blong Yang,Cathy Spann,Raeisha (RA) Williams
"['Jeremiah Ellison', 'skipped', 'skipped']",463,Jeremiah Ellison,skipped,skipped
"['Jeremiah Ellison', 'Blong Yang', 'Raeisha (RA) Williams']",464,Jeremiah Ellison,Blong Yang,Raeisha (RA) Williams
"['Blong Yang', 'Jeremiah Ellison', 'Raeisha (RA) Williams']",465,Blong Yang,Jeremiah Ellison,Raeisha (RA) Williams
"['Blong Yang', 'Blong Yang', 'Blong Yang']",466,Blong Yang,Blong Yang,Blong Yang
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",467,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
"['Jeremiah Ellison', 'Raeisha (RA) Williams', 'Blong Yang']",468,Jeremiah Ellison,Raeisha (RA) Williams,Blong Yang
