ranks,ballotID,rank1,rank2,rank3
"['NORMAN YEE', 'JOHN FARRELL', 'MIKE YOUNG']",34223,NORMAN YEE,JOHN FARRELL,MIKE YOUNG
"['JOHN FARRELL', 'MIKE YOUNG', 'MIKE YOUNG']",34224,JOHN FARRELL,MIKE YOUNG,MIKE YOUNG
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",34225,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['NORMAN YEE', 'BEN MATRANGA', 'JOHN FARRELL']",34226,NORMAN YEE,BEN MATRANGA,JOHN FARRELL
"['NORMAN YEE', 'MIKE YOUNG', 'JOEL ENGARDIO']",34227,NORMAN YEE,MIKE YOUNG,JOEL ENGARDIO
"['NORMAN YEE', 'BEN MATRANGA', 'JOEL ENGARDIO']",34228,NORMAN YEE,BEN MATRANGA,JOEL ENGARDIO
"['JOEL ENGARDIO', 'JOHN FARRELL', 'NORMAN YEE']",34229,JOEL ENGARDIO,JOHN FARRELL,NORMAN YEE
"['JOHN FARRELL', 'BEN MATRANGA', 'JOEL ENGARDIO']",34230,JOHN FARRELL,BEN MATRANGA,JOEL ENGARDIO
"['BEN MATRANGA', 'JOHN FARRELL', 'JOEL ENGARDIO']",34231,BEN MATRANGA,JOHN FARRELL,JOEL ENGARDIO
"['JOEL ENGARDIO', 'JOHN FARRELL', 'BEN MATRANGA']",34232,JOEL ENGARDIO,JOHN FARRELL,BEN MATRANGA
"['JOHN FARRELL', 'JOEL ENGARDIO', 'MIKE YOUNG']",34233,JOHN FARRELL,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34234,NORMAN YEE,skipped,skipped
"['BEN MATRANGA', 'JOHN FARRELL', 'NORMAN YEE']",34235,BEN MATRANGA,JOHN FARRELL,NORMAN YEE
"['NORMAN YEE', 'JOEL ENGARDIO', 'skipped']",34236,NORMAN YEE,JOEL ENGARDIO,skipped
"['JOHN FARRELL', 'JOEL ENGARDIO', 'MIKE YOUNG']",34237,JOHN FARRELL,JOEL ENGARDIO,MIKE YOUNG
"['NORMAN YEE', 'skipped', 'skipped']",34238,NORMAN YEE,skipped,skipped
"['NORMAN YEE', 'MIKE YOUNG', 'JOEL ENGARDIO']",34239,NORMAN YEE,MIKE YOUNG,JOEL ENGARDIO
"['JOEL ENGARDIO', 'BEN MATRANGA', 'skipped']",34240,JOEL ENGARDIO,BEN MATRANGA,skipped
"['MIKE YOUNG', 'JOEL ENGARDIO', 'NORMAN YEE']",34241,MIKE YOUNG,JOEL ENGARDIO,NORMAN YEE
"['NORMAN YEE', 'BEN MATRANGA', 'skipped']",34242,NORMAN YEE,BEN MATRANGA,skipped
"['JOHN FARRELL', 'MIKE YOUNG', 'BEN MATRANGA']",34243,JOHN FARRELL,MIKE YOUNG,BEN MATRANGA
