ranks,ballotID,rank1,rank2,rank3
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",3538,NEHANDA IMARA,MARCIE HODGE,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3539,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'NEHANDA IMARA', 'NEHANDA IMARA']",3540,MARCIE HODGE,NEHANDA IMARA,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'skipped']",3541,NEHANDA IMARA,MARCIE HODGE,skipped
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3542,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3543,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['LARRY E. REID', 'skipped', 'skipped']",3544,LARRY E. REID,skipped,skipped
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3545,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3546,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3547,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3548,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3549,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3550,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['skipped', 'LARRY E. REID', 'skipped']",3551,skipped,LARRY E. REID,skipped
"['LARRY E. REID', 'skipped', 'NEHANDA IMARA']",3552,LARRY E. REID,skipped,NEHANDA IMARA
"['MARCIE HODGE', 'NEHANDA IMARA', 'LARRY E. REID']",3553,MARCIE HODGE,NEHANDA IMARA,LARRY E. REID
"['LARRY E. REID', 'MARCIE HODGE', 'NEHANDA IMARA']",3554,LARRY E. REID,MARCIE HODGE,NEHANDA IMARA
"['NEHANDA IMARA', 'NEHANDA IMARA', 'NEHANDA IMARA']",3555,NEHANDA IMARA,NEHANDA IMARA,NEHANDA IMARA
"['NEHANDA IMARA', 'MARCIE HODGE', 'LARRY E. REID']",3556,NEHANDA IMARA,MARCIE HODGE,LARRY E. REID
"['MARCIE HODGE', 'NEHANDA IMARA', 'NEHANDA IMARA']",3557,MARCIE HODGE,NEHANDA IMARA,NEHANDA IMARA
"['MARCIE HODGE', 'LARRY E. REID', 'NEHANDA IMARA']",3558,MARCIE HODGE,LARRY E. REID,NEHANDA IMARA
