Candidate 0000403PATRICIA KERNIGHAN                                0000001000003500
Candidate 0000404JENNIFER S. PAE                                   0000002000003500
Candidate 0000078Write-In                                          0000003000003510
Precinct  0000586502600                                            0000585000000000
Precinct  0000587502710                                            0000586000000000
Precinct  0000588502720                                            0000587000000000
Precinct  0000589502740                                            0000588000000000
Precinct  0000590502800                                            0000589000000000
Precinct  0000591502900                                            0000590000000000
Precinct  0000592510300                                            0000591000000000
Precinct  0000593520110                                            0000592000000000
Precinct  0000594520210                                            0000593000000000
Precinct  0000595520220                                            0000594000000000
Precinct  0000596520230                                            0000595000000000
Precinct  0000597520240                                            0000596000000000
Precinct  0000598520300                                            0000597000000000
Precinct  0000599520310                                            0000598000000000
Precinct  0000600520320                                            0000599000000000
Precinct  0000601520400                                            0000600000000000
Precinct  0000602520420                                            0000601000000000
Precinct  0000603520500                                            0000602000000000
Precinct  0000604520600                                            0000603000000000
Precinct  0000605520610                                            0000604000000000
Precinct  0000606520630                                            0000605000000000
Precinct  0000607520700                                            0000606000000000
Precinct  0000608520710                                            0000607000000000
Precinct  0000609520810                                            0000608000000000
Precinct  0000610520820                                            0000609000000000
Precinct  0000611520840                                            0000610000000000
Precinct  0000612520860                                            0000611000000000
Precinct  0000613520870                                            0000612000000000
Precinct  0000614521100                                            0000613000000000
Precinct  0000615521300                                            0000614000000000
Precinct  0000616521310                                            0000615000000000
Precinct  0000617521500                                            0000616000000000
Precinct  0000618522000                                            0000617000000000
Precinct  0000619522020                                            0000618000000000
Precinct  0000620522110                                            0000619000000000
Precinct  0000621522120                                            0000620000000000
Precinct  0000622522130                                            0000621000000000
Precinct  0000623522140                                            0000622000000000
Precinct  0000624522150                                            0000623000000000
Precinct  0000625522200                                            0000624000000000
Precinct  0000626522400                                            0000625000000000
Precinct  0000627523110                                            0000626000000000
Precinct  0000628523300                                            0000627000000000
Precinct  0000629523700                                            0000628000000000
Precinct  0000630523710                                            0000629000000000
Precinct  0000631523720                                            0000630000000000
Precinct  0000632523800                                            0000631000000000
Precinct  0000633540300                                            0000632000000000
Precinct  0000634540500                                            0000633000000000
Precinct  0000635540600                                            0000634000000000
Precinct  0000636540700                                            0000635000000000
Precinct  0000637540800                                            0000636000000000
Precinct  0000638541100                                            0000637000000000
Precinct  0000639542000                                            0000638000000000
Precinct  0000640543000                                            0000639000000000
Precinct  0000641543300                                            0000640000000000
Precinct  0000642544400                                            0000641000000000
Precinct  0000643545000                                            0000642000000000
Precinct  0000644546000                                            0000643000000000
Precinct  0000645546100                                            0000644000000000
Precinct  0000646546600                                            0000645000000000
Precinct  0000647547700                                            0000646000000000
Precinct  0000648547750                                            0000647000000000
Precinct  0000649547780                                            0000648000000000
Precinct  0000650821100                                            0000649000000000
Precinct  0000651821110                                            0000650000000000
Precinct  0000652821200                                            0000651000000000
Precinct  0000653821210                                            0000652000000000
Precinct  0000654821400                                            0000653000000000
Precinct  0000655821500                                            0000654000000000
Precinct  0000656821600                                            0000655000000000
Precinct  0000657821710                                            0000656000000000
Precinct  0000658821730                                            0000657000000000
Precinct  0000659821800                                            0000658000000000
Precinct  0000660821900                                            0000659000000000
Precinct  0000661821910                                            0000660000000000
Precinct  0000662822000                                            0000661000000000
Precinct  0000663822010                                            0000662000000000
Precinct  0000664822200                                            0000663000000000
Precinct  0000665823000                                            0000664000000000
Precinct  0000666823100                                            0000665000000000
Precinct  0000667823200                                            0000666000000000
Precinct  0000668823400                                            0000667000000000
Precinct  0000669823500                                            0000668000000000
Precinct  0000670823510                                            0000669000000000
Precinct  0000671823600                                            0000670000000000
Precinct  0000672823610                                            0000671000000000
Precinct  0000673823700                                            0000672000000000
Precinct  0000674823710                                            0000673000000000
