contest,place,state,year,date,office,break_on_overvote,break_on_repeated_skipvotes,multi_winner_rounds,master_lookup,candidate_map,parser,idparser,rcv_type,num_winners,path
"2010 Member, City Council, District 1 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 1,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 1 - San Leandro_Nov 2010.txt"
"2010 Member, City Council, District 3 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 3 - San Leandro_Nov 2010.txt"
"2010 Member, City Council, District 5 - San Leandro Nov 2010",San Leandro,CA,2010,11/2/2010,County Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2010/ballot_image_Member, City Council, District 5 - San Leandro_Nov 2010.txt"
Cambridge City Council 2011,Cambridge,MA,2011,11/8/2011,City Council,FALSE,FALSE,,,,prm,,stv_whole_ballot,9,Ballot_Images/Cambridge/2011/Council/Final/council.chp
Cambridge School Committee 2011,Cambridge,MA,2011,11/8/2011,School Committee,FALSE,FALSE,,,,prm,,stv_whole_ballot,6,Ballot_Images/Cambridge/2011/School/Final/school.chp
San Francisco District Attorney 2011,San Francisco,CA,2011,11/8/2011,District Attorney,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran Nov 2011 District Attorney/DA-BallotImage.txt
San Francisco Mayor 2011,San Francisco,CA,2011,11/8/2011,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran Nov 2011 Mayor/Mayor-BallotImage.txt
San Francisco Sheriff 2011,San Francisco,CA,2011,11/8/2011,Sheriff,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,Ballot_Images/San Francisco/San Fran Nov 2011 Sheriff/Sheriff-BallotImage.txt
2012 Mayor - Berkeley Nov 2012,Berkeley,CA,2012,11/6/2012,Mayor,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Mayor - Berkeley_Nov 2012.txt"
"2012 Member, City Council, District 2 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 2,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 2 - Berkeley_Nov 2012.txt"
"2012 Member, City Council, District 3 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 3,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 3 - Berkeley_Nov 2012.txt"
"2012 Member, City Council, District 5 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 5,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 5 - Berkeley_Nov 2012.txt"
"2012 Member, City Council, District 6 - Berkeley Nov 2012",Berkeley,CA,2012,11/6/2012,City Council District 6,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, District 6 - Berkeley_Nov 2012.txt"
2012 City Attorney - Oakland Nov 2012,Oakland,CA,2012,11/6/2012,City Attorney,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_City Attorney - Oakland_Nov 2012.txt"
"2012 Member, City Council, At-Large - Oakland Nov 2012",Oakland,CA,2012,11/6/2012,City Council At-Large,TRUE,FALSE,,,,sfnoid,,rcv_single_winner,1,"Ballot_Images/Alameda (Oakland, San Leandro, Berkeley)/Alameda (Oakland, San Leandro, Berkeley) 2012/ballot_image_Member, City Council, At-Large - Oakland_Nov 2012.txt"
